Bar: La Pétaudière | ID: node/253007445 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: 25° Est | ID: node/294266518 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Jupi | ID: node/305903404 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture, Activity.
Bar: Lush | ID: node/305903405 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries.
Bar: Giulia | ID: node/305903407 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Boundaries.
Bar: Le Bar Belge | ID: node/305903408 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Les Caves Populaires | ID: node/305903409 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Just BE | ID: node/305949888 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Nawab | ID: node/305951215 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Café Biergit | ID: node/306154412 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection.
Bar: Le Refuge des Fondus | ID: node/308007587 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries, Furniture.
Bar: Le Diplomate | ID: node/309974648 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Krishna Bhavan | ID: node/324192389 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: Brasserie Wepler | ID: node/408952534 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Café des 2 Moulins | ID: node/408952536 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture.
Bar: Le Basilic | ID: node/408956768 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: La Cidrerie Des Batignolles | ID: node/463710796 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Galette du Moulin | ID: node/497348562 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Adn Montmartre | ID: node/498913739 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries.
Bar: L'Été en Pente Douce | ID: node/534660987 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Au Bercail | ID: node/534660992 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Au Soleil de la Butte | ID: node/534660995 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Cépage Montmartrois | ID: node/540663896 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Pinettes | ID: node/565052804 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Dame | ID: node/571429770 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Championnet | ID: node/599956164 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: La Karambole | ID: node/629665565 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries, Architecture.
Bar: Wassana | ID: node/629702270 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture, Protection.
Bar: L'Avenue | ID: node/637464406 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Au Rendez-Vous des Amis | ID: node/653878922 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture.
Bar: La Renaissance | ID: node/669803007 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: L'oasis 244 | ID: node/735171891 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Tokioyaki | ID: node/735171919 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection, Activity.
Bar: Les Artistes du Faubourg | ID: node/735171923 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: Restaurant Royal Pokhara | ID: node/735171925 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: Bistrot Lafayette | ID: node/735172006 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection.
Bar: Cristal Bar | ID: node/735172024 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Furniture.
Bar: Le Jaurès | ID: node/735361060 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Metro Bar | ID: node/735462834 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture, Furniture.
Bar: Hippopotamus | ID: node/819866089 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: Juste Le Zinc | ID: node/819866381 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Léon | ID: node/821879344 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture, Protection.
Bar: Indiana Café | ID: node/821879351 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Petit Poucet | ID: node/821886212 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Étoile du Kashmir | ID: node/821902041 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity, Architecture.
Bar: Mademoiselle Raymonde | ID: node/844531907 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Indian Taste | ID: node/877958892 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Himalayan Momo | ID: node/877958897 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Boundaries.
Bar: Bharath | ID: node/877958898 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Rotonde | ID: node/877959052 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: La Rame | ID: node/879276212 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
